,sno.,anime_id,name,genre,type,episodes,rating,members
0,2601,1312,Chikyuu Bouei Kigyou Dai-Guard,"Adventure, Comedy, Mecha, Military, Sci-Fi",TV,26,7.21,4838
1,2602,8362,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,1,7.21,1517
2,2603,10155,Dog Days,"Action, Adventure, Fantasy, Magic",TV,13,7.21,97809
3,2604,2517,Eikoku Koi Monogatari Emma: Intermission,"Drama, Historical, Romance, Seinen, Slice of Life",Special,1,7.21,3261
4,2605,28211,Harmony,"Psychological, Sci-Fi",Movie,1,7.21,25245
5,2606,7088,Ichiban Ushiro no Daimaou,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, School, Shounen",TV,12,7.21,203618
6,2607,4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,7.21,9610
7,2608,432,Iria: Zeiram The Animation,"Action, Adventure, Sci-Fi, Space",OVA,6,7.21,10208
8,2609,31405,Joker Game,"Drama, Historical, Military",TV,12,7.21,102560
9,2610,9159,Kaibutsu Oujo (OVA),"Action, Comedy, Horror, Shounen, Supernatural",OVA,3,7.21,8690
10,2611,2176,Kiddy Grade: Ignition,"Action, Mecha, Sci-Fi, Super Power",Movie,1,7.21,3466
11,2612,20649,Kimi no Iru Machi OVA,"Drama, Romance, Slice of Life",OVA,2,7.21,9866
12,2613,21853,Love Live! School Idol Project Recap,"Music, School, Slice of Life",Special,1,7.21,4249
13,2614,1588,Mamoru-kun ni Megami no Shukufuku wo!,"Comedy, Romance, School",TV,24,7.21,16922
14,2615,4926,Marco: Haha wo Tazunete Sanzenri,"Adventure, Drama",Movie,1,7.21,1060
15,2616,11761,Medaka Box,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,12,7.21,110042
16,2617,21603,Mekakucity Actors,"Comedy, Romance, Sci-Fi, Super Power, Supernatural",TV,12,7.21,198876
17,2618,1135,Munto: Toki no Kabe wo Koete,"Action, Fantasy, Magic, Super Power",OVA,1,7.21,7843
18,2619,2200,Muteki Choujin Zanbot 3,"Action, Drama, Mecha, Sci-Fi, Shounen",TV,23,7.21,1570
19,2620,11021,Muv-Luv Alternative: Total Eclipse,"Action, Mecha, Military, Sci-Fi",TV,24,7.21,55531
20,2621,1546,Negima!?,"Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Supernatural",TV,26,7.21,44009
21,2622,1619,Negima!? Haru Special!?,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power",OVA,1,7.21,13563
22,2623,1944,Photon,"Action, Adventure, Comedy, Drama, Ecchi, Mecha, Romance, Sci-Fi",OVA,6,7.21,7935
23,2624,12221,Precure All Stars Movie New Stage: Mirai no Tomodachi,"Fantasy, Magic, Shoujo",Movie,1,7.21,2530
24,2625,609,Saishuu Heiki Kanojo: Another Love Song,"Drama, Romance, Sci-Fi",OVA,2,7.21,12239
25,2626,6203,Sasameki Koto,"Comedy, Romance, School, Shoujo Ai",TV,13,7.21,34297
26,2627,2117,Shin Captain Tsubasa,"Action, Shounen, Sports",OVA,13,7.21,4630
27,2628,1101,Tenchi Muyou! Manatsu no Eve,"Action, Comedy, Sci-Fi, Shounen, Space",Movie,1,7.21,10523
28,2629,9733,The TV Show,Music,Music,1,7.21,2066
29,2630,1539,Touch: Cross Road - Kaze no Yukue,"Romance, Shounen, Sports",Special,1,7.21,1513
30,2631,19383,Yami Shibai,"Dementia, Horror, Supernatural",TV,13,7.21,33275
31,2632,1264,Yoroiden Samurai Troopers,"Adventure, Samurai, Sci-Fi, Shounen",TV,39,7.21,11015
32,2633,5458,Yuâ˜†Giâ˜†Oh! Duel Monsters: Battle City Special,"Adventure, Fantasy, Game, Shounen",Special,1,7.21,9429
33,2634,3505,Yuusha Shirei Dagwon,"Action, Adventure, Martial Arts, Mecha, School, Super Power",TV,48,7.21,689
34,2635,367,Akazukin Chacha OVA,"Comedy, Fantasy, Magic",OVA,3,7.2,1659
35,2636,1079,Armitage III,"Action, Adventure, Mecha, Police, Romance, Sci-Fi",OVA,4,7.2,14930
36,2637,19877,Battle Spirits: Sword Eyes Gekitouden,Shounen,TV,21,7.21,570
37,2638,9907,Bokura no Live Kimi to no Life,Music,Music,1,7.2,10426
38,2639,6747,Dance in the Vampire Bund,"Action, Supernatural, Vampire",TV,12,7.2,121005
39,2640,2669,Doraemon Movie 06: Nobita no Little Star Wars,"Fantasy, Space",Movie,1,7.2,1059
40,2641,2678,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,"Adventure, Fantasy, Kids, Shounen",Movie,1,7.2,896
41,2642,15159,Fantastic Children Special,Slice of Life,Special,1,7.2,873
42,2643,9367,Freezing,"Action, Drama, Ecchi, Harem, Martial Arts, Romance, Sci-Fi, Seinen",TV,12,7.2,159273
43,2644,10115,Friends: Mononoke Shima no Naki,"Comedy, Fantasy, Kids",Movie,1,7.19,601
44,2645,30290,Fw:Hamatora,"Comedy, Mystery, Super Power",Movie,1,7.2,3718
45,2646,15811,Girls und Panzer Specials,"Military, School",Special,6,7.2,15228
46,2647,729,Hiatari Ryoukou!,"Comedy, Romance, School, Sports",TV,48,7.2,1527
47,2648,4549,Hokuto no Ken: Raoh Gaiden Ten no Haoh,"Action, Drama, Martial Arts",TV,13,7.2,6659
48,2649,1336,Kyoushoku Soukou Guyver II,"Action, Adventure, Drama, Horror, Sci-Fi",OVA,6,7.2,4876
49,2650,4851,Lupin III: Seven Days Rhapsody,"Action, Adventure, Comedy, Shounen",Special,1,7.2,2482
50,2651,16890,Makai Ouji: Devils and Realist,"Comedy, Demons, Fantasy, Historical, Mystery, School, Shoujo, Supernatural",TV,12,7.2,59819
51,2652,23227,Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,"Comedy, Romance, Seinen, Slice of Life",OVA,1,7.2,21717
52,2653,24171,Mushibugyou OVA,"Action, Fantasy, Historical, Martial Arts, Samurai, Shounen, Super Power",OVA,3,7.2,3636
53,2654,3752,Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu,"Adventure, Kids",Movie,1,7.2,925
54,2655,4662,Neo Angelique Abyss: Second Age,"Adventure, Fantasy, Harem, Shoujo",TV,13,7.2,12975
55,2656,2490,One Piece: Mezase! Kaizoku Yakyuu Ou,"Comedy, Fantasy, Shounen, Sports",Movie,1,7.2,20054
